Region,Site.Number,Lab No.,CRA,Error,Material,Material ID,Source,Rejected Previously,Accepted Y/N
Southern,C45/1,NZ0883,306,41,Wood,Leptospermum scoparium,Database,,Y
Southern,D41/4,NZ6742,399,33,Charcoal,Nothofagus sp.,Database,,Y
Southern,D41/5,NZ6755,355,33,Charcoal,"Nothofagus sp. Dominant. Plagianthus sp., Leptospermum sp. Unidentified Minor",Database,,Y
Southern,D41/5,NZ6758,339,32,Charcoal,"Nothofagus sp. Dominant. Leptospermum scoparium, Weinmannia racemose - subdominant. Psuedopanax colensoi/arboreous, Coriaria arborea minor",Database,,Y
Southern,D41/5,NZ6769,344,51,Charcoal,"Nothofagus sp. Dominant. Leptospermum scoparium, Coriaria arborea, Shefflera digitata, Hebe sp. Podocarpus totara subdominant, Pittisporum sp minor.",Database,,Y
Southern,D41/7,NZ6733,281,50,Charcoal,"Leptospermum scoparium - dominant; Coprosma sp. - subdominant; Phyllocladus alpinus, Podocarpus totara, P. hallii, Nothofagus solandri var - minor; fern, unidentified - trace",Anderson and McGovern-Wilson 1991,,Y
Southern,D41/7,NZ4472,399,33,Charcoal,Nothofagus sp. [probably N.solandri var.],Database,,Y
Southern,D48/21,Wk21442,464,36,Charcoal,Hebe salicifolia 7 - Pseudopanax colensoi 7 - Leptospermum scoparium 6 - Fuchsia excorticata 3 - Griselina littoralis 3 - Myrsine australis 2,Smith and Anderson 2008,,Y
Southern,D48/21,Wk21443,542,35,Charcoal,Leptospermum scoparium 4 - Hebe salicifolia 2 - Pseudopanax colensoi 7 - Melicytus ramiflorus 1 - Myrsine australis 1,Smith and Anderson 2008,,Y
Southern,D48/5,Wk21436,740,35,Charcoal,Hebe salicifola 6 - Pseudopanax colensoi 5 - Leptospermum scoparium 4 - Pseudopanax edgerleyi 3 - Myrsine australis 2 - Coprosma sp. 1 - Griselinia littoralis 1 - Pseudopanax crassifolius 1,Smith and Anderson 2008,,Y
Southern,D48/5,Wk21437,631,35,Charcoal,Myrsine australis 5 - Griselinia littoralis 3 - Leptospermum scoparium 3 - Hebe salicifolia 1 - Coprosma sp. 1 - Aristotelia serrata 1 - Fuchsia excorticata 1,Smith and Anderson 2008,,Y
Southern,D48/5,Wk21438,197,35,Charcoal,Fern ? Sp. 4 - Pteridium esculentum 2 - Fuchsia excorticata 1 - Pseudopanax edgerleyi 1 - Ascarina lucida 1 ,Smith and Anderson 2008,,Y
Southern,D48/5,Wk21439,529,35,Charcoal,Aristotelia serrata 9 - Hebe salicifolia 8 - Leptospermum scoparium 7 - Pseudopanax edgerleyi 2 -  Ascarina lucida 1 - Dracophyllum longifolium 1,Smith and Anderson 2008,,Y
Southern,D48/5,Wk21440,517,34,Charcoal,Hebe salicifolia 3 - Leptospermum scoparium 3 - Coprosma sp. 2 - Aristotella serrata 1 - Fuchsia excorticata 1 - Myrsine australis 1,Smith and Anderson 2008,,Y
Southern,D48/5,Wk21441,548,35,Charcoal,Hebe salicifolia 5 - Leptospermum scoparium 3 - Coprosma sp. 2 - Pseudopanax crassifolius 2 - Fuchsia excorticata 1 ,Smith and Anderson 2008,,Y
Southern,E38/3,NZ7348,541,72,Charcoal,"Weinmannia recemose, Daacrydium cupresinum, Nothofagus sp., Olearia sp.",Database,,Y
Southern,E38/7,NZ7340,669,72,Charcoal,"Hoheria sp., Schleffera digitata, Hebe sp., Metrosideros sp., Nothofagus sp., Weinmannia racemosa, Aristotelia serrata, Myrsine australis, Lagarostrabos colensoi, Podocarpus totara/hallii",Database,,Y
Southern,E40/2,NZ5324,587,56,Charcoal,Coprosma sp,Database,,Y
Southern,E40/2,NZ5325,723,57,Charcoal,Coprosma sp - dominant. Sophora sp [probably S microphylla] -subdominant. Nothofagus sp. - trace,Database,,Y
Southern,E40/2,NZ5323,337,55,Charcoal,"Sophora sp [probably S. microphylla] dominant, Nothofagus sp - co-dominant",Database,,Y
Southern,E40/2,NZ5326,442,41,Charcoal,Nothofagus sp.-dominant. Hebe sp. Minor,Database,,Y
Southern,E41/196,NZ6687,672,33,Charcoal,Phyllocladus alpinus - dominant; Coprosma sp. - subdominant,Database,,Y
Southern,E47/13,NZ4469,656,29,Charcoal,"Leptospermum scoparium 76%, Podocarpus totara/hallii [probably P totara] 20 % Pittosporum sp 4 %",Database,,Y
Southern,F41/1,NZ6039,699,46,Charcoal,"Nothofagus sp. - dominant. Phyllocladus alpinus, Coprosma sp, - minor. Hebe sp - trace",Database,,Y
Southern,F41/1,NZ6040,763,34,Charcoal,Phyllocladus alpinus - dominant; Discaria toumatoui - trace,Database,,Y
Southern,G41/2,NZ5336,365,55,Charcoal,Discaria toumatou - dominant. Podocarpus totara/hallii - minor. Leptospermum ericoides - trace,Database,,Y
Southern,G41/2,NZ5337,340,39,Charcoal,Discaria toumatou,Database,,Y
Southern,G41/2,NZ5338,426,32,Charcoal,Discaria toumatou,Database,,Y
Southern,G41/288,NZ5416,303,45,Charcoal,Discaria toumatou,Database,,Y
Southern,G41/453,NZ5340,632,45,Charcoal,Discaria toumatou - dominant. Sophora sp [probably S.microphylla] - minor. Coprosma sp. Leptospermum ericoides - trace,Database,Anderson (5),Y
Southern,G41/453,NZ5341,376,38,Charcoal,Discaria toumatou - dominant. Hebe sp. - minor. Sophora sp [probably S microphylla] Coprosma sp - minor,Database,Anderson (5),Y
Southern,G42/13,NZ5044,692,33,Charcoal,"Coprosma sp. Dominant, Olearia sp. Minor)",Anderson 1978,,Y
Southern,G42/13,NZ5045,709,33,Charcoal,Coprosma sp.-dominant. Olearia sp subdominant. Hebe sp minor,Anderson 1978,,Y
Southern,G42/13,NZ5046,714,33,Charcoal,"Coprosma sp. Dominant, Olearia sp. Minor)",Anderson 1978,,Y
Southern,G42/13,NZ5047,611,33,Charcoal,Oleria sp. Dominant. Coprosman sp. Subdominant,Anderson 1978,,Y
Southern,G42/13,NZ5048,691,33,Charcoal,Oleria sp. Dominant. Coprosman sp. Subdominant,Anderson 1978,,Y
Southern,G42/13,NZ5049,652,33,Charcoal,Oleria sp. Dominant. Coprosman sp. Subdominant,Anderson 1978,,Y
Southern,G42/13,NZ5050,720,33,Charcoal,"Coprosma sp. dominant, Olearia sp. Minor, Phylloclodies alpimus - rare",Anderson 1978,,Y
Southern,G42/13,NZ5051,668,33,Charcoal,Hebe sp. Olearia sp. Coprosma sp.,Anderson 1978,,Y
Southern,G42/13,NZ5052,663,28,Charcoal,Oleria sp. Dominant. Coprosman sp. Subdominant,Anderson 1978,,Y
Southern,G42/183,NZ4715,309,82,Charcoal,"Hebe sp. 50%, Discaria toumatou 50%",Database,,Y
Southern,G42/183,NZ4716,579,96,Charcoal,"Discaria toumatou 66%, Hebe sp. 34 %",Database,,Y
Southern,G43/105,NZ6654,672,52,Charcoal,Phyllocladus alpinus - dominant; Leptospermum scoparium - minor,Database,,Y
Southern,G43/105,NZ6657,671,54,Charcoal,Phyllocladus alpinus - dominant; Leptospermum scoparium - minor,Database,,Y
Southern,G43/183,NZ4714,399,88,Charcoal,"Hebe sp. 84%, Discaria toumatou 16%",Database,,Y
Southern,G43/51,NZ6855,655,40,Charcoal,"Hoheria/Plagianthus gp - dominant; Coprosma sp (2), Olearia sp - subdominant; unidentified - minor",Database,,Y
Southern,G47/50,Wk1761,650,45,Charcoal,Twigs from the following: Leptospermum scoparium - 13pc; Pseudopanax arboreus - 3pc; Pseudowinteria colorata - 3pc; Hoheria sp. - 3pc; Nothofagus sp. - 2pc; Coprosma sp. - 1pc; Pittosporum sp. - 1pc; Archeria traversi - 1pc; bark,Database,,Y
Southern,G47/50,Wk1762,640,45,Charcoal,Leptospermum scoparium - 14pc; Pseudopanax edgerleyi - 6pc; Myrsine australis - 3pc; Hoheria sp. - 1pc; Dracophyllum sp. - 1pc,Database,,Y
Southern,G47/50,NZA1415,570,66,Charcoal,Leptospermum scoparium - 1pc; Pseudopanax arboreus - 1pc; Carpodetus serratus - 1pc,Database,,Y
Central,H39/19,WK2782,640,35,Charcoal,Short lived,Challis 1995,,Y
Central,H39/19,WK2916,620,45,Charcoal,Short lived,Challis 1995,,Y
Central,H39/19,WK2991,590,45,Charcoal,Short lived,Challis 1995,,Y
Southern,I38/4,NZ6297,647,-25.35,Charcoal,Myrsine australis dominant Hymenanthera minor,Database,,Y
Central,I38/5,NZ6364,657,28,Charcoal,Myrsine australis,Fankhauser 1992,,Y
Southern,I40/43,NZ6210,609,33,Charcoal,Myrsine australis,Fankhauser 1992,,Y
Central,I40/44,NZ6409,718,34,Charcoal,Olearia sp. Myrsine australis,Fankhauser 1992,,Y
Southern,I40/46,NZ6211,589,33,Charcoal,Myrsine australis,Fankhauser 1992,,Y
Central,I40/48,NZ6383,588,28,Charcoal,"Coprosma sp. Dominant, Hebe sp. Minor",Fankhauser 1992,,Y
Southern,I40/49,NZ6171,509,41,Charcoal,Coprosma sp.,Fankhauser 1992,,Y
Southern,I40/51,NZ6212,392,25,Charcoal,Myrsine australis dominant Hymenanthera minor,Fankhauser 1992,,Y
Central,I40/52,NZ6393,588,34,Charcoal,"Myrsine australis dominant, Sophora microphylla minor",Fankhauser 1992,,Y
Southern,I44/17,NZ6698,182,45,Charcoal,"Myrsine australis - dominant; Carpodetus serratus, Pittosporum tenuifolium - subdominant; Hebe sp., unidentified - minor)",Database,,Y
Southern,I44/17,NZ6770,258,50,Charcoal,"Leptospermum scoparium, Myrsine australis - codominant; Pittisporum tenuifolium, Carpodetus serratus, Coprosma sp., Hebe sp., unidentified - minor ",Database,,Y
Southern,I44/17,NZ6759,257,50,Charcoal,"Melicytus ramiflorus - dominant; Sophora microphylla, Myrsine australis, Leptospermum scoparium, Hebe sp., Coriaria arborea, Podocarpus totara/hallii, unidentified - minor)",Database,,Y
Southern,I44/23,NZ4704,476,56,Charcoal,"Coprosma sp. - dominant; Podocarpus totara/hallii, Hebe sp. - sub-dominant; Pittosporum sp., Hoheria or Plagianthus sp, Leptospermum scoparium - minor; Pseudopanax sp. - trace",aaMcGovern-Wilson 1985,,Y
Southern,I44/68,NZA22837,679,35,Charcoal,"coprosma, pittosporum, plagianthus, mapau, kanuka",Briden 2005,,Y
Southern,I44/68,NZA22838,691,35,Charcoal,"Cordyline australlis, kanuka, southern rata",Briden 2005,,Y
Southern,I44/68,NZA22836,498,45,Charcoal,"Cordyline australis, coprosma sp, ngaio, ?shrub",Briden 2005,,Y
Southern,J40/10,NZ6208,560,28,Charcoal,Lophomyrtus obcordata,Fankhauser 1992,,Y
Southern,J40/12,NZ6209,675,28,Charcoal,Myrsine australis,Fankhauser 1992,,Y
Southern,J40/18,NZ6170,215,26,Charcoal,Nothofagus sp. Coprosma sp.,Fankhauser 1992,,Y
Southern,J40/18,NZ6300,173,32,Charcoal,Hebe sp. Dominant with Podocarpus totara,Fankhauser 1992,,Y
Southern,J40/21,NZ6166,180,36,Charcoal,Letospernum scoparium dominant; Psuedopanax crassifoilius,Fankhauser 1992,,Y
Central,J40/21,NZ6411,140,32,Charcoal,Leptospermum ericoides,Fankhauser 1992,,Y
Southern,J43/1,Wk2790,700,90,Charcoal,Muehlenbeckia sp - 10pc. Coprosma sp. - 4pc. Discaria toumatou - 6pc. Plagianthus divaricatus - 5 pc. Olearia sp. - 3 pc,Smith 1999,,Y
Southern,J43/1 ,NZ7961,443,83,Charcoal,"Discaria toumatou - 70%, Ribbonwood/lacebark - 26%, Cordyline australis stem - 4%",Smith 1999,,Y
Southern,J43/1 ,NZA2802,494,62,Charcoal,Olearia sp.,Smith 1999,,Y
Southern,J43/1 ,NZ7960,507,64,Charcoal,"Coprosma sp. - 50%, Discaria toumatou - 25%, Shrub ?Coprosma sp. - 25%",Smith 1999,,Y
Southern,J43/1 ,NZA3740,624,65,Charcoal,Discaria toumatou,Smith 1999,,Y
Southern,J43/1 ,NZ7964,665,41,Charcoal,"Discaria toumatou - 58%, Olearia sp. - 16%, Hebe sp. - 16%, bark - 8%",Smith 1999,,Y
Southern,J43/1 ,NZ7963,602,69,Charcoal,"Discaria toumatou - 58%, shrub sp. - 21%, Ribbonwood/lacebark - 11%, Hebe sp. - 5%, Coprosma sp. - 5% ",Smith 1999,,Y
Southern,J43/1 ,NZ8096,705,35,Charcoal,"Discaria toumatou - 40%, Pittosporum sp. - 32%, Ribbonwood - 28%",Smith 1999,,Y
Southern,J43/1 ,NZ8098,655,33,Charcoal,"Discaria toumatou - 34%, Ribbonwood - 28%, Hebe sp. - 21%, Coprosma sp. - 10%, Nothofagus sp. twig - 7%",Smith 1999,,Y
Southern,J43/1 ,NZ8097,647,37,Charcoal,"Plagianthus divaricatus - 38%, Hebe sp. - 31%, Discaria toumatou - 23%, Kunzea ericoides - 4%, Pseudopanax sp. - 4%) ",Smith 1999,,Y
Southern,J43/1 ,NZ8099,624,37,Charcoal,"Ribbonwood - 33%, Discaria toumatou - 23%, Pittosporum sp. - 16%, Myrsine australis - 15%, Olearia sp. - 6%, Hebe sp. - 6%) ",Smith 1999,,Y
Southern,J43/1 ,Wk 2789,550,90,Charcoal,Discaria toumatou - 13 pieces. Pittosporum sp. - 4pc. Muehlenbeckia sp. - 6pc. Coprosma sp. - pc. Shrub sp. 1 pc,Database,,Y
Southern,J43/2,NZ7759,627,47,Charcoal,"Olearia - 31%, Hoheria - 25%, Coprosma - 25%, Pseudopanax arboreus - 13%, Myrsine australis - 6%) ",Database,,Y
Southern,J43/2,NZ7771,660,46,Charcoal,"Pseudowinteria colorata - 60%, Leptospermum scoparium - 30%, Pittosporum - 10%)",Database,,Y
Southern,J43/2,NZ7734,781,37,Wood,Flax (Phormium tenax) ,Database,,Y
Southern,J43/2,NZA0887,626,95,Charcoal,"Coprosma - 22%, Pseudowinteria colorata - 22%, Olearia - 22%, shrub sp. - 22%, Kunzea ericoides - 11%",Database,,Y
Southern,J43/2,NZA0888,585,93,Charcoal,"Melicytus ramiflorus - 36%, Hoheria - 29%, Hebe - 14%, Elaeocarpus - 7%, Pteridium - 7%, Coprosma - 7%",Database,,Y
Southern,J43/2,NZ7760,582,47,Charcoal,"Hoheria - 32%, Pittosporum - 21%, Shrup sp. - 21%, Olearia - 16%, Kunzea ericoides - 5%, Sophora microphylla - 5%",Database,,Y
Southern,J43/2,NZ7756,670,47,Charcoal,"Hoheria - 95%, Myrsine australis - 5%",Database,,Y
Southern,J43/2,Wk2589,630,35,Charcoal,Hoheria sp.,Database,,Y
Southern,J43/2,Wk2590,620,35,Charcoal,pretreatment experiment - acid washed fraction  (Hoheria) ,Database,,Y
Southern,J43/2,Wk2591,660,35,Charcoal,pretreatment experiment - ABA insol. fraction  (Hoheria) ,Database,,Y
Southern,J43/2,Wk2592,580,45,Charcoal,pretreatment experiment - ABA sol. fraction  (Hoheria) ,Database,,Y
Southern,J43/2,Wk2593,600,35,Charcoal,pretreatment experiment - HNO3 insol. fraction  (Hoheria) ,Database,,Y
Southern,J43/2,Wk2594,660,45,Charcoal,pretreatment experiment - physically pretreated fraction (Hoheria) ,Database,,Y
Southern,J43/2,NZ7755,646,47,Charcoal,"Hoheria - 99%, Hebe - 1%",Database,,Y
Southern,J43/2,NZ7757,537,44,Charcoal,Hoheria sp.,Database,,Y
Southern,J43/2,NZ7761,600,50,Charcoal,"Hoheria - 37%, Pittosporum - 23%, Coprosma - 20%, Myrsine australis - 10%, Pseudopanax - 7%, P. eugenioides - 3%",Database,,Y
Southern,J43/2,NZ7758,580,47,Charcoal,"Hoheria - 80%, Olearia - 15%, Pseudopanax - 2%, Coprosma - 2% ",Database,,Y
Southern,J43/2,NZ7762,647,47,Charcoal,Hoheria sp.,Database,,Y
Southern,J43/2,NZ7763,592,48,Charcoal,"Hoheria - 50%, Pseudopanax arboreus - 17%, Pittosporum - 17%, Coprosma - 16%",Database,,Y
