PhaseID,C14Age,C14SD,LabID
AAN,4830,185,A-12281
AEV,5030,80,BM-1906
AEV,5120,45,BM-1907
AGC,5130,315,UCR-1725
AEV,5180,60,BM-1908
N,5200,450,Gd-4196
AEV,5210,85,GU-1459
AEV,5224,78,BM-849
AEV,5225,125,GU-524
JC,5265,450,C-744
AEV,5275,47,BM-844
AEV,5330,57,BM-848
AEV,5340,95,GU-523
AH2,5350,400,OxTL196a
AH2C,5350,400,OxTL-196j
AEV,5355,67,BM-843
AEV,5360,57,BM-845
AEV,5372,92,BM-846
AEV,5387,53,BM-847
AEV,5420,80,GU-522
AEV,5740,140,Birm-337
AEV,5825,145,Birm-182
NIs,6130,70,Pta-3486
JC,6180,300,UCLA-1723C
JC,6300,180,GL-49
JC,6550,200,UCLA-1723D
J,6570,165,F-45
J,6605,330,C-742
JC,6650,170,F-44
JC,6650,120,GL-44
J,6670,120,GL-45
JC,6690,360,C-743
J,6710,320,C-113
J,6750,120,GL-50
B,6900,100,OxA-2808
ER,6925,550,GX-2544
JC,6930,360,GL-48
KhE,7000,150,Ly-3716
DHII,7030,90,OxA-1636
HAIII,7060,260,UBAR-395
AAN,7070,50,Beta-134455
KhE,7070,610,Ly-4787
DHII,7140,90,OxA-1728
RsVa,7184,84,P-457
EKII,7200,160,Ly-6496
AK-MJ,7220,160,I-1495
AkTI,7260,50,Beta-138585
B,7270,80,OxA-2764
JC,7270,200,UCLA-1723B
EKIPN,7290,45,GrN-6777
KhTh,7294,78,BM-852
Shs11,7300,150,K-960
KhTh,7308,74,BM-855
AH2B,7310,120,OxA-1232
B,7350,80,OxA-2765
M,7370,400,M-1972
AK-BM,7380,130,I-1496
EKII,7400,300,Ly-4439
EKIPN,7400,45,GrN-6778
JN,7430,100,OxA-375
KhTh,7442,61,BM-854
DHII,7450,90,OxA-1729
KhTh,7451,81,BM-853
BQ,7465,45,GrN-10589
AkTI,7470,80,Beta-138582
KhE,7470,140,Ly-4308
N,7470,60,Gd-5110
BQ,7485,50,GrN-13079
TAH,7485,280,GX-6358
Mz,7490,50,IGAN-773
BQ,7520,50,GrN-13081
BQ,7530,50,GrN-13082
ER,7530,430,GX-2545
KhW,7540,180,Ly-3719
ER,7550,570,GX-2543
Qr,7560,340,Ly-2578
CAIe,7620,140,UCLA-1703C
N,7640,110,Gd-2935
JC,7655,75,GrN-6353
AK-BM,7660,170,I-1489
WSh,7660,210,Beta-35084/WS-6
TD,7670,60,UtC-1097/1098/1099
EKII,7680,200,Ly-2520
RsVb,7686,112,P-458
KhW,7700,150,Ly-3717
TD,7700,90,UtC-1124
HAIII,7710,70,Ly-6494
ER,7730,120,I-5151
SC5,7730,115,Hv-2597
AK-AK,7740,600,SI-207
EKII,7750,130,Ly-6497
HAIII,7750,530,Beta-58926
JC,7750,250,W-608
EKII,7760,510,Ly-4438
EKII,7760,280,Ly-2521
HAIII,7760,90,Beta-69593
AK-AK,7770,330,H-1848
Gri,7770,150,Beta-8240
CHaIII,7796,140,HU-10
JC,7800,120,UCLA-1723A
WSh,7810,340,Beta-35088/WS-11
AGC,7820,240,AA-1165
AK-MJ,7820,190,I-1494
Shs11,7820,150,K-972
WJ13,7830,90,UB-3462
BQ,7840,60,GrN-4820
BQ,7860,40,GrN-8264
Gri,7860,80,Beta-8241
WJ13,7870,100,OxA-1801
CHaIII,7874,70,HU-9
BQ,7880,60,GrN-13090
HAIII,7880,120,Beta-58925
RaII,7880,55,GrN-4823
AH2B,7890,90,OxA-1931
L,7900,0,K-1428
RaII,7900,50,GrN-4822
RsVc,7900,140,GIF-3960
WJ13,7900,80,OxA-2411
BQ,7905,45,GrN-8260
CHaIII,7910,160,OxA-388
RaII,7920,50,GrN-4427
TD,7920,110,UtC-1094/1095/1096
WJ13,7920,100,OxA-1800
BQ,7925,40,GrN-8259
B,7930,80,OxA-2766
ES,7930,70,ISGS-3279
HAII,7930,310,UBAR-290
KhE,7930,320,Ly-3718
KhE,7930,130,Ly-4307
Shs13,7940,150,K-951
BQ,7945,50,GrN-10591
Gri,7950,120,Beta-13218
J,7950,200,W-652
TSAII2,7950,50,UtC-4907
BQ,7960,55,GrN-4819
AkTIII,7970,120,Beta-138586
CHaIII,7980,120,BM-1655R
J,7980,140,UCLA-1714E
N,7980,140,Gd-4204
HAIII,7990,70,Beta-58930
