Reading No,SAMPLE,LOCATION,TYPE,LENGTH,WIDTH,THICKNESS,WEIGHT,CORTEX,COLOUR,Source (Sr),Source ((Fe)
276,KP1,KUMARA PATCH,Flake,30.5,35.5,6.7,8,0,Grey,Hahei/Tairua,Hahei
277,KP2,KUMARA PATCH,Flake,34.6,36.1,6.7,4,0,Grey,Hahei/Tairua,Hahei
278,KP3,KUMARA PATCH,Flake,16.5,22.9,2.6,1,0,Green,Mayor Island,
279,KP4,KUMARA PATCH,Flake,19.9,28.6,2.8,1,0,Green,Mayor Island,
280,KP5,KUMARA PATCH,Flake,27.7,25.9,4.3,3,0,Grey,Hahei/Tairua,Hahei
281,KP6,KUMARA PATCH,Flake,32.9,30.8,6.6,4,0,Green,Mayor Island,
282,KP7,KUMARA PATCH,Debitage,27.5,15.6,2.9,1,0,Grey,Hahei/Tairua,Hahei
283,KP8,KUMARA PATCH,Debitage,24.7,31.1,3.1,3,0,Green,Mayor Island,
284,KP9,KUMARA PATCH,Flake,38.5,29.8,3.1,3,0,Green,Mayor Island,
285,KP10,KUMARA PATCH,Flake,31.7,17.8,5.9,3,0,Green,Mayor Island,
286,KP11,KUMARA PATCH,Flake,20.5,16.2,5.4,1,0,Grey,Hahei,Hahei
287,KP12,KUMARA PATCH,Debitage,19.8,15.6,5.8,2,0,Green,Mayor Island,
288,KP13,KUMARA PATCH,Flake,19.7,21.7,6.5,1,0,Green,Mayor Island,
289,KP14,KUMARA PATCH,Flake,24.8,16.8,4.2,1,0,Green,Mayor Island,
290,KP15,KUMARA PATCH,Flake,26,32.4,5.6,3,0,Green,Mayor Island,
294,KP16,KUMARA PATCH,Flake,34.9,26.7,3.4,3,0,Green,Mayor Island,
295,KP17,KUMARA PATCH,Debitage,29.2,19.5,3.2,1,0,Grey,Hahei/Tairua,Hahei
296,KP18,KUMARA PATCH,Flake,24.5,23.8,5.5,2,0,Green,Mayor Island,
297,KP19,KUMARA PATCH,Flake,20.3,14.2,5,1,0,Grey,Hahei/Tairua,Hahei
298,KP20,KUMARA PATCH,Flake,34.7,24.5,3.5,3,0,Green,Mayor Island,
299,KP21,KUMARA PATCH,Debitage,23.9,14.2,2.3,1,0,Green,Mayor Island,
300,KP22,KUMARA PATCH,Flake,18.5,15.6,3.6,2,0,Green,Mayor Island,
301,KP23,KUMARA PATCH,Flake,27.5,23.2,8.1,3,0,Green,Mayor Island,
302,KP24,KUMARA PATCH,Flake,44.1,28.3,5.4,5,0,Green,Mayor Island,
303,KP25,KUMARA PATCH,Debitage,23.7,9,4.9,1,0,Green,Mayor Island,
304,KP26,KUMARA PATCH,Debitage,35.5,21.1,2.5,1,0,Green,Mayor Island,
305,KP27,KUMARA PATCH,Flake,14.7,21.7,2,1,0,Green,Mayor Island,
306,KP28,KUMARA PATCH,Flake,23,35.2,10.8,7,0,Grey,Hahei,Hahei
307,KP29,KUMARA PATCH,Flake,26.5,29.7,4.8,4,0,Green,Mayor Island,
308,KP30,KUMARA PATCH,Debitage,37.5,30,5,5,0,Green,Mayor Island,
204,KPN 1,KAUPOKONUI,Flake,89.1,75.1,17.6,169,0,Grey,Mayor Island,
205,KPN 2,KAUPOKONUI,Flake,58,48.6,19.8,47,0,Grey,Huruiki,
206,KPN 3,KAUPOKONUI,Core,93.6,46.5,19.3,78,0.1,Grey,Mayor Island,
207,KPN 4,KAUPOKONUI,Flake,106.2,33.6,10.4,48,0.5,Grey,Mayor Island,
208,KPN 5,KAUPOKONUI,Flake,39.6,86.7,26.1,66,0,Grey,Mayor Island,
209,KPN 6,KAUPOKONUI,Flake,30.1,27,5.4,3,0,Green,Mayor Island,
